cluster_kmeans,cluster_dbscan,cluster_jerarquico,is_anomaly_if,anomaly_score_if,is_anomaly_lof,anomaly_score_lof,PC1,PC2
0,-1,1,True,-0.6793882353600194,False,-1.3280543794425343,11.772695274993914,4.421260069553461
0,0,0,False,-0.4499398411249272,False,-1.001957039653954,3.1663850066296817,1.2249992510702588
0,0,1,False,-0.517894085240246,False,-1.065995297921123,5.880347548724441,1.3628507423646334
0,0,0,False,-0.4297702044595418,False,-1.0040840108655715,1.9576980691379757,0.6303756739725247
0,0,0,False,-0.4210027009544848,False,-0.987911743748143,2.2931224947857074,0.3562985764778484
0,0,0,False,-0.42597960482585717,False,-0.9861812697925739,2.6668219945924165,0.20331656674667611
0,-1,1,True,-0.6075196100353292,False,-1.3498780965730597,9.000670285176492,1.418623905452959
1,0,0,False,-0.41676238488459455,False,-0.9942560979855198,1.6666862938508935,0.21005760424517894
0,0,0,False,-0.4570875144823964,False,-1.0888286950952832,3.1595740962827725,1.4782154633601743
0,0,1,False,-0.491430658791546,False,-1.0247484503975928,4.862279390739106,1.4250992489013394
0,0,1,False,-0.5111398357641506,False,-1.0343924505202946,5.631514321935527,0.7603647462725895
0,-1,1,True,-0.6688613886466609,False,-1.2085784765860013,12.512469799520764,0.7667685318125499
0,-1,1,True,-0.6010171689699589,False,-1.2056152420914914,7.751983354749052,3.0110463695072767
1,1,0,False,-0.4340345332562861,False,-0.9523185935361222,-1.6681961866732615,1.3559338780294374
1,1,0,False,-0.41543972091148546,False,-0.9796858871845714,-1.7271896429622928,1.1847596245217562
1,0,0,False,-0.4272107774698415,False,-0.999272361528889,-0.3768429892970136,1.747489148379589
1,1,0,False,-0.4397241174164589,False,-0.9742275602364769,-1.9180310205733322,1.3794113615293149
1,1,0,False,-0.42904586013447715,False,-1.0313488629880876,-1.6753756219037788,1.2214473227981468
1,1,0,False,-0.46304273788615224,False,-1.0689599703725707,-1.8273509178767828,1.234074368396894
1,0,0,False,-0.46593394306610386,False,-1.3426676830361393,1.0062160040680932,2.3865638677503167
1,1,0,False,-0.4285235706213003,False,-1.152079629740284,-1.551633795311121,0.895911910598381
